energy,mxw
1.00E-05,0.70763
1.10E-05,0.70763
1.20E-05,0.70763
1.30E-05,0.70763
1.40E-05,0.70763
1.50E-05,0.70764
1.60E-05,0.70764
1.70E-05,0.70764
1.80E-05,0.70764
1.90E-05,0.70764
2.00E-05,0.70764
2.10E-05,0.70764
2.20E-05,0.70764
2.30E-05,0.70764
2.40E-05,0.70764
2.50E-05,0.70764
2.60E-05,0.70764
2.70E-05,0.70764
2.80E-05,0.70764
2.90E-05,0.70764
3.00E-05,0.70764
3.10E-05,0.70764
3.20E-05,0.70764
3.30E-05,0.70764
3.40E-05,0.70764
3.50E-05,0.70764
3.60E-05,0.70764
3.70E-05,0.70764
3.80E-05,0.70764
3.90E-05,0.70764
4.00E-05,0.70764
4.10E-05,0.70764
4.20E-05,0.70764
4.30E-05,0.70764
4.40E-05,0.70764
4.50E-05,0.70765
4.60E-05,0.70765
4.70E-05,0.70765
4.80E-05,0.70765
4.90E-05,0.70765
5.00E-05,0.70765
5.10E-05,0.70765
5.20E-05,0.70765
5.30E-05,0.70765
5.40E-05,0.70765
5.50E-05,0.70765
5.60E-05,0.70765
5.70E-05,0.70765
5.80E-05,0.70765
5.90E-05,0.70765
6.00E-05,0.70765
6.10E-05,0.70765
6.20E-05,0.70765
6.30E-05,0.70765
6.40E-05,0.70765
6.50E-05,0.70765
6.60E-05,0.70765
6.70E-05,0.70765
6.80E-05,0.70765
6.90E-05,0.70765
7.00E-05,0.70765
7.10E-05,0.70765
7.20E-05,0.70765
7.30E-05,0.70765
7.40E-05,0.70766
7.50E-05,0.70766
7.60E-05,0.70766
7.70E-05,0.70766
7.80E-05,0.70766
7.90E-05,0.70766
8.00E-05,0.70766
8.10E-05,0.70766
8.20E-05,0.70766
8.30E-05,0.70766
8.40E-05,0.70766
8.50E-05,0.70766
8.60E-05,0.70766
8.70E-05,0.70766
8.80E-05,0.70766
8.90E-05,0.70766
9.00E-05,0.70766
9.10E-05,0.70766
9.20E-05,0.70766
9.30E-05,0.70766
9.40E-05,0.70766
9.50E-05,0.70766
9.60E-05,0.70766
9.70E-05,0.70766
9.80E-05,0.70766
9.90E-05,0.70766
0.0001,0.70766
0.00011,0.70767
0.00012,0.70767
0.00013,0.70767
0.00014,0.70768
0.00015,0.70768
0.00016,0.70768
0.00017,0.70769
0.00018,0.70769
0.00019,0.70769
0.0002,0.7077
0.00021,0.7077
0.00022,0.7077
0.00023,0.70771
0.00024,0.70771
0.00025,0.70771
0.00026,0.70772
0.00027,0.70772
0.00028,0.70772
0.00029,0.70773
0.0003,0.70773
0.00031,0.70773
0.00032,0.70774
0.00033,0.70774
0.00034,0.70774
0.00035,0.70775
0.00036,0.70775
0.00037,0.70775
0.00038,0.70776
0.00039,0.70776
0.0004,0.70776
0.00041,0.70777
0.00042,0.70777
0.00043,0.70777
0.00044,0.70778
0.00045,0.70778
0.00046,0.70778
0.00047,0.70779
0.00048,0.70779
0.00049,0.70779
0.0005,0.7078
0.00051,0.7078
0.00052,0.7078
0.00053,0.70781
0.00054,0.70781
0.00055,0.70781
0.00056,0.70782
0.00057,0.70782
0.00058,0.70782
0.00059,0.70783
0.0006,0.70783
0.00061,0.70783
0.00062,0.70784
0.00063,0.70784
0.00064,0.70784
0.00065,0.70785
0.00066,0.70785
0.00067,0.70785
0.00068,0.70786
0.00069,0.70786
0.0007,0.70786
0.00071,0.70787
0.00072,0.70787
0.00073,0.70787
0.00074,0.70788
0.00075,0.70788
0.00076,0.70788
0.00077,0.70789
0.00078,0.70789
0.00079,0.70789
0.0008,0.7079
0.00081,0.7079
0.00082,0.7079
0.00083,0.70791
0.00084,0.70791
0.00085,0.70791
0.00086,0.70792
0.00087,0.70792
0.00088,0.70792
0.00089,0.70793
0.0009,0.70793
0.00091,0.70793
0.00092,0.70794
0.00093,0.70794
0.00094,0.70794
0.00095,0.70795
0.00096,0.70795
0.00097,0.70795
0.00098,0.70796
0.00099,0.70796
0.001,0.70796
0.0011,0.708
0.0012,0.70803
0.0013,0.70807
0.0014,0.7081
0.0015,0.70813
0.0016,0.70817
0.0017,0.7082
0.0018,0.70823
0.0019,0.70827
0.002,0.7083
0.0021,0.70833
0.0022,0.70837
0.0023,0.7084
0.0024,0.70843
0.0025,0.70847
0.0026,0.7085
0.0027,0.70853
0.0028,0.70857
0.0029,0.7086
0.003,0.70863
0.0031,0.70867
0.0032,0.7087
0.0033,0.70873
0.0034,0.70877
0.0035,0.7088
0.0036,0.70883
0.0037,0.70887
0.0038,0.7089
0.0039,0.70893
0.004,0.70897
0.0041,0.709
0.0042,0.70903
0.0043,0.70907
0.0044,0.7091
0.0045,0.70913
0.0046,0.70917
0.0047,0.7092
0.0048,0.70923
0.0049,0.70927
0.005,0.7093
0.0051,0.70933
0.0052,0.70937
0.0053,0.7094
0.0054,0.70944
0.0055,0.70947
0.0056,0.7095
0.0057,0.70954
0.0058,0.70957
0.0059,0.7096
0.006,0.70964
0.0061,0.70967
0.0062,0.7097
0.0063,0.70974
0.0064,0.70977
0.0065,0.7098
0.0066,0.70984
0.0067,0.70987
0.0068,0.7099
0.0069,0.70994
0.007,0.70997
0.0071,0.71
0.0072,0.71004
0.0073,0.71007
0.0074,0.7101
0.0075,0.71014
0.0076,0.71017
0.0077,0.7102
0.0078,0.71024
0.0079,0.71027
0.008,0.7103
0.0081,0.71034
0.0082,0.71037
0.0083,0.7104
0.0084,0.71044
0.0085,0.71047
0.0086,0.7105
0.0087,0.71053
0.0088,0.71057
0.0089,0.7106
0.009,0.71063
0.0091,0.71067
0.0092,0.7107
0.0093,0.71073
0.0094,0.71077
0.0095,0.7108
0.0096,0.71083
0.0097,0.71087
0.0098,0.7109
0.0099,0.71093
0.01,0.71097
