angle,theta
180,0.0039991
173.018,0.004898
168.951,0.0059841
166.011,0.00684
162.846,0.0077227
160.168,0.0083763
155.651,0.0091239
151.813,0.0092406
148.406,0.0088747
145.302,0.008203
142.425,0.0073892
139.725,0.0065538
137.168,0.0057731
134.729,0.0050985
132.39,0.0045805
130.135,0.0042852
129.036,0.0042469
127.954,0.004297
126.887,0.0044472
125.836,0.0047086
124.798,0.0050912
123.774,0.0056027
122.761,0.0062483
121.76,0.00703
119.79,0.0089913
117.859,0.011425
115.962,0.014206
114.095,0.01715
112.256,0.020034
110.441,0.022612
108.647,0.024648
106.873,0.025935
105.116,0.026328
103.374,0.025756
101.644,0.024247
99.9261,0.021929
98.2172,0.019039
96.5161,0.015908
94.8212,0.012952
93.1309,0.010644
92.287,0.0098876
91.4437,0.0094787
91.0223,0.0094231
90.6009,0.0094762
89.7582,0.0099348
88.9157,0.010904
88.073,0.012424
87.2299,0.014529
86.3864,0.017241
85.5422,0.02057
84.6972,0.024512
83.0037,0.034146
81.3045,0.045804
79.598,0.058873
77.8825,0.072479
76.1563,0.085521
74.4176,0.096739
72.6646,0.10483
70.8951,0.1086
69.1068,0.10713
67.2975,0.10001
65.4643,0.087487
63.6045,0.070704
61.7146,0.051769
59.7911,0.033764
58.8154,0.026304
58.3238,0.023191
57.8296,0.020579
57.3328,0.018539
56.9584,0.017425
56.3938,0.016488
56.1101,0.016375
55.8255,0.016514
55.3172,0.017415
54.9339,0.018669
54.3556,0.021528
53.7731,0.025617
53.2517,0.030326
52.463,0.03934
51.6659,0.050727
50.5893,0.069545
49.496,0.092259
48.3847,0.11832
47.254,0.14687
44.9284,0.20633
42.5046,0.25716
41.2502,0.274
39.9639,0.28214
38.6423,0.27967
37.2816,0.2654
35.8772,0.23938
34.4237,0.20372
32.9144,0.16354
31.3412,0.12833
30.5276,0.11715
29.9043,0.11364
29.429,0.11462
29.0679,0.11781
28.5184,0.12727
27.9591,0.14331
27.5099,0.16146
27.1111,0.18187
26.4,0.2293
25.8548,0.27614
25.4388,0.31852
24.8026,0.39523
24.1507,0.48977
23.6346,0.57679
22.7049,0.76233
21.9833,0.93317
20.8566,1.249
19.6686,1.6487
18.3866,2.1568
17.3654,2.6167
15.7139,3.4546
13.8726,4.5013
12.0065,5.6391
10.393,6.6403
7.34379,8.4162
0,10.572
