EALF,keff,sd
1.45E-07,1,0.0039
1.47E-07,0.9999,0.0039
1.47E-07,1.0042,0.0051
1.58E-07,1.007,0.0051
1.62E-07,1.0042,0.0044
1.62E-07,1.006,0.0044
1.62E-07,1.0068,0.0039
1.62E-07,1.0074,0.0034
1.62E-07,1.0052,0.0044
1.63E-07,1.0055,0.0044
1.63E-07,1.0075,0.0039
1.63E-07,1.0065,0.0039
1.63E-07,1.0062,0.0034
1.63E-07,1.0075,0.0039
1.63E-07,1.0053,0.0034
1.63E-07,1.0082,0.0039
1.63E-07,1.0066,0.0039
1.63E-07,1.0092,0.0039
1.63E-07,1.0022,0.0034
1.63E-07,1.0083,0.0039
1.63E-07,1.0068,0.0044
1.63E-07,1.005,0.0044
1.63E-07,1.0076,0.0034
1.63E-07,1.0083,0.0034
1.63E-07,1.0066,0.0044
1.63E-07,1.0081,0.0044
1.63E-07,1.0071,0.0044
1.63E-07,1.0056,0.0039
1.63E-07,1.0077,0.0039
1.63E-07,1.0055,0.0039
1.63E-07,1.0053,0.0034
1.63E-07,1.0073,0.0044
1.63E-07,1.0056,0.0044
1.63E-07,1.0059,0.0039
1.63E-07,1.0059,0.0039
1.63E-07,1.0068,0.0033
1.63E-07,1.0054,0.0041
1.63E-07,1.0088,0.0039
1.63E-07,1.0073,0.0039
1.63E-07,1.0065,0.0053
1.63E-07,1.0042,0.0044
1.63E-07,1.0077,0.0039
1.64E-07,1.005,0.0034
1.64E-07,1.008,0.0039
1.64E-07,1.0081,0.0053
1.64E-07,1.0057,0.0039
1.64E-07,1.0082,0.0039
1.64E-07,1.0073,0.0039
1.64E-07,1.0071,0.0033
1.64E-07,1.004,0.0034
1.64E-07,1.0054,0.0053
1.64E-07,1.0108,0.0044
1.64E-07,1.0073,0.0044
1.64E-07,1.0055,0.0034
1.64E-07,1.0048,0.0053
1.64E-07,1.0062,0.0044
1.64E-07,1.0065,0.0044
1.64E-07,1.0058,0.0044
1.64E-07,1.009,0.0034
1.64E-07,1.0052,0.0044
1.64E-07,1.0066,0.0053
1.64E-07,1.0031,0.0053
1.64E-07,1.007,0.0063
1.64E-07,1.0071,0.0053
1.64E-07,1.0056,0.0044
1.64E-07,1.008,0.0039
1.64E-07,1.0105,0.0044
1.64E-07,1.0052,0.0053
1.65E-07,1.0048,0.0041
1.65E-07,1.0069,0.0053
1.65E-07,1.0064,0.0063
1.65E-07,1.0043,0.0033
1.65E-07,1.0067,0.0039
1.65E-07,1.0102,0.0044
1.65E-07,1.0064,0.0033
1.65E-07,1.0037,0.0044
1.65E-07,1.0047,0.0053
1.65E-07,1.0074,0.0063
1.65E-07,1.0042,0.0063
1.65E-07,1.0107,0.0053
1.65E-07,1.0081,0.0053
1.65E-07,1.01,0.0063
1.66E-07,1.0046,0.0044
1.67E-07,1.0049,0.0063
1.72E-07,0.9949,0.0019
1.87E-07,1.0069,0.0042
1.87E-07,1.0081,0.0042
1.88E-07,1.0076,0.0042
1.90E-07,1.0023,0.0042
1.92E-07,1.0014,0.0042
1.92E-07,1.0043,0.0042
1.93E-07,0.9956,0.0044
1.93E-07,1.0037,0.0042
2.05E-07,1,0.002
2.19E-07,0.9992,0.002
2.20E-07,1.0065,0.0054
2.20E-07,1.0062,0.0054
2.21E-07,1.0078,0.0054
2.22E-07,1.0112,0.0054
2.24E-07,1.0087,0.0054
2.25E-07,1.0098,0.0054
2.26E-07,1.0071,0.0054
2.29E-07,1.0088,0.0039
2.30E-07,1.0065,0.0044
2.31E-07,1.0059,0.0044
2.31E-07,1.0093,0.0048
2.31E-07,1.0077,0.0048
2.31E-07,1.0074,0.0039
2.31E-07,1.0054,0.0048
2.31E-07,1.0068,0.0039
2.31E-07,1.0065,0.0039
2.31E-07,1.0083,0.0039
2.32E-07,1.0061,0.0048
2.32E-07,1.0071,0.0039
2.32E-07,1.0077,0.0044
2.32E-07,1.0051,0.0048
2.32E-07,1.004,0.0048
2.33E-07,1.009,0.0048
2.33E-07,1.0047,0.0044
2.33E-07,1.0073,0.0048
2.33E-07,1.0085,0.0048
2.33E-07,1.0082,0.0048
2.33E-07,1.0068,0.0048
2.39E-07,1.0045,0.0046
2.40E-07,1.0005,0.0046
2.40E-07,1.0059,0.0045
2.41E-07,0.9999,0.005
2.41E-07,1.0032,0.0048
2.41E-07,1.0019,0.0049
2.42E-07,0.9997,0.0046
2.43E-07,1.0033,0.0048
2.43E-07,1.0023,0.0046
2.49E-07,1.0015,0.0046
2.50E-07,0.9977,0.0046
2.52E-07,0.9969,0.0046
2.52E-07,0.9964,0.0046
2.58E-07,1.0033,0.0047
2.70E-07,1.0093,0.0047
2.88E-07,1.0025,0.0054
2.91E-07,1.0045,0.0054
2.94E-07,1.0026,0.0054
2.96E-07,1.003,0.0054
3.05E-07,1.0041,0.0066
3.08E-07,1.0035,0.0066
3.16E-07,0.9951,0.0045
3.18E-07,0.9899,0.0047
3.44E-07,1.0114,0.0051
3.52E-07,0.9999,0.005
3.53E-07,0.9984,0.005
3.55E-07,0.9965,0.005
3.55E-07,1.001,0.005
3.57E-07,0.9962,0.005
3.68E-07,0.9959,0.005
4.40E-07,1.0011,0.0051
4.41E-07,0.9977,0.0051
4.47E-07,1.0022,0.0063
4.48E-07,0.9985,0.0051
4.48E-07,0.9979,0.005
4.48E-07,1.0026,0.0063
4.52E-07,1.0025,0.0063
4.52E-07,0.995,0.0051
4.57E-07,1.0016,0.0063
4.63E-07,1.0031,0.0063
5.08E-07,0.9951,0.0062
5.13E-07,0.9977,0.005
5.14E-07,0.9955,0.005
5.14E-07,0.9932,0.0051
5.14E-07,0.9927,0.005
5.16E-07,0.9955,0.005
7.15E-07,1.0064,0.0068
7.25E-07,1.008,0.0068
7.35E-07,1.0075,0.0068
7.41E-07,1.0082,0.0068
7.52E-07,1.0093,0.0068
7.58E-07,1.0082,0.0068
7.61E-07,1.0086,0.0068
1.11E-06,0.9988,0.0061
1.12E-06,0.9948,0.0061
1.14E-06,0.9951,0.0062
1.16E-06,0.9936,0.0061
1.18E-06,0.9936,0.0061
1.20E-06,0.9907,0.0061
1.30E-06,1.009,0.0026
1.34E-06,1.0094,0.0026
1.56E-06,1.0078,0.0073
1.65E-06,1.002,0.0078
4.27E-06,1.032,0.0073
4.70E-06,1.0291,0.0073
5.06E-06,1.0088,0.0055
5.28E-06,1.0261,0.0073
5.28E-06,1.0297,0.0073
5.59E-06,1.0287,0.0073
5.67E-06,1.0293,0.0073
