energy,barns
3.05E-07,5260.35
3.07E-07,5170.66
3.08E-07,5144.59
3.09E-07,5063.88
3.10E-07,5008.09
3.11E-07,4976.46
3.12E-07,4881.32
3.14E-07,4816.4
3.15E-07,4710.86
3.16E-07,4676.68
3.18E-07,4529.91
3.20E-07,4412.3
3.22E-07,4216.88
3.27E-07,3895.29
3.31E-07,3607.32
3.31E-07,3599.34
3.32E-07,3569.92
3.36E-07,3290.6
3.36E-07,3254.81
3.36E-07,3244.83
3.41E-07,2989.32
3.41E-07,2955.45
3.44E-07,2805.04
3.44E-07,2775.75
3.45E-07,2743.9
3.48E-07,2574.95
3.48E-07,2545.09
3.51E-07,2387.33
3.52E-07,2359.5
3.53E-07,2294.67
3.55E-07,2212.98
3.56E-07,2187.15
3.59E-07,2050.9
3.59E-07,2027.03
3.63E-07,1901.46
3.63E-07,1879.47
3.67E-07,1764.02
3.67E-07,1743.79
3.70E-07,1637.83
3.71E-07,1619.26
3.74E-07,1521.59
3.75E-07,1504.55
3.78E-07,1415.09
3.79E-07,1399.47
3.82E-07,1330.72
3.82E-07,1317.57
3.83E-07,1303.25
3.86E-07,1228.27
3.87E-07,1215.14
3.90E-07,1146.09
3.91E-07,1134.04
3.95E-07,1070.78
3.95E-07,1059.73
3.95E-07,1057
3.99E-07,1001.75
3.99E-07,991.598
4.03E-07,938.395
4.04E-07,929.066
4.07E-07,879.936
4.08E-07,871.352
4.09E-07,851.302
4.11E-07,826.206
4.12E-07,818.305
4.16E-07,776.772
4.16E-07,769.487
4.20E-07,731.226
4.21E-07,724.502
4.24E-07,694.805
4.25E-07,689.027
4.25E-07,682.817
4.29E-07,650.086
4.30E-07,644.342
4.34E-07,614.09
4.34E-07,608.771
4.38E-07,580.776
4.39E-07,575.883
4.42E-07,554.236
4.44E-07,545.255
4.44E-07,540.013
4.48E-07,516.98
4.51E-07,503.124
4.53E-07,490.562
4.57E-07,469.528
4.58E-07,465.872
4.61E-07,449.665
4.63E-07,442.942
4.63E-07,439.01
4.67E-07,421.678
4.70E-07,411.179
4.71E-07,408.158
4.77E-07,385.805
4.77E-07,383.012
4.83E-07,362.555
4.84E-07,359.995
4.84E-07,359.289
4.90E-07,341.259
4.91E-07,338.913
4.97E-07,321.704
4.98E-07,319.546
5.04E-07,303.709
5.05E-07,301.721
5.11E-07,287.123
5.12E-07,285.289
5.12E-07,284.782
5.18E-07,271.832
5.19E-07,270.141
5.26E-07,257.699
5.27E-07,256.134
5.33E-07,244.613
5.34E-07,243.163
5.41E-07,232.479
5.42E-07,231.134
5.46E-07,225.181
5.48E-07,221.224
5.49E-07,219.993
5.57E-07,209.708
5.60E-07,205.834
5.65E-07,200.076
5.72E-07,191.978
5.73E-07,190.979
5.81E-07,182.621
5.84E-07,179.467
5.85E-07,178.35
5.89E-07,174.772
5.96E-07,168.164
5.97E-07,167.348
6.06E-07,160.505
6.09E-07,157.92
6.14E-07,154.055
6.22E-07,148.605
6.23E-07,147.93
6.32E-07,142.262
6.32E-07,142.076
6.35E-07,140.122
6.41E-07,136.916
6.49E-07,132.387
6.50E-07,131.825
6.62E-07,125.303
6.64E-07,124.784
6.77E-07,118.815
6.78E-07,118.338
6.91E-07,112.835
6.92E-07,112.396
6.92E-07,112.287
7.06E-07,107.354
7.07E-07,106.951
7.21E-07,102.285
7.22E-07,101.916
7.37E-07,97.2935
7.41E-07,96.1293
7.53E-07,92.993
7.62E-07,90.5597
7.69E-07,88.9825
7.69E-07,88.8991
7.84E-07,85.5118
7.85E-07,85.2396
8.02E-07,81.8195
8.06E-07,80.9551
8.19E-07,78.6128
8.29E-07,76.7882
8.36E-07,75.5989
8.52E-07,72.9623
8.54E-07,72.7543
8.66E-07,70.9563
8.72E-07,70.1341
8.77E-07,69.4724
8.91E-07,67.6904
9.08E-07,65.5072
9.09E-07,65.3372
9.29E-07,63.184
9.40E-07,61.93
9.48E-07,61.1256
9.69E-07,59.1838
9.74E-07,58.6974
9.96E-07,56.7825
9.97E-07,56.7477
1.01E-06,55.7575
1.02E-06,54.5528
1.04E-06,53.0828
1.05E-06,52.47
1.08E-06,50.6283
1.08E-06,50.5219
1.11E-06,48.7245
1.12E-06,48.3852
1.15E-06,47.0426
1.16E-06,46.3165
1.18E-06,45.4651
1.18E-06,45.4427
1.21E-06,44.0483
1.21E-06,43.9675
1.25E-06,42.5966
1.26E-06,41.9953
1.29E-06,40.9776
1.32E-06,40.1122
1.34E-06,39.4668
1.37E-06,38.3881
1.38E-06,38.0598
1.43E-06,36.7923
1.43E-06,36.7345
1.43E-06,36.72
1.48E-06,35.5189
1.49E-06,35.3323
1.54E-06,34.3847
1.57E-06,33.7659
1.59E-06,33.3057
1.65E-06,32.322
1.65E-06,32.2777
1.72E-06,31.1408
1.73E-06,30.9963
1.79E-06,30.0783
1.82E-06,29.7685
1.82E-06,29.7215
1.87E-06,29.0878
1.91E-06,28.6434
1.95E-06,28.16
2.00E-06,27.597
2.04E-06,27.2895
2.12E-06,26.4924
2.14E-06,26.3348
2.24E-06,25.4643
2.24E-06,25.4367
2.36E-06,24.6062
2.37E-06,24.5141
2.44E-06,24.0416
2.46E-06,23.9381
2.51E-06,23.6342
2.58E-06,23.2058
2.65E-06,22.8223
2.71E-06,22.5176
2.80E-06,22.065
2.85E-06,21.8693
2.97E-06,21.3606
2.99E-06,21.2601
3.14E-06,20.7038
3.14E-06,20.6861
3.30E-06,20.1528
3.32E-06,20.0937
3.47E-06,19.6536
3.51E-06,19.528
3.61E-06,19.255
3.71E-06,19.01
3.80E-06,18.8151
3.90E-06,18.5883
3.96E-06,18.4612
4.02E-06,18.352
4.09E-06,18.1973
4.22E-06,17.981
4.30E-06,17.8403
4.40E-06,17.6935
4.52E-06,17.5241
4.59E-06,17.437
4.74E-06,17.2535
4.75E-06,17.246
4.92E-06,17.0893
4.97E-06,17.0448
4.98E-06,17.0346
5.06E-06,16.9833
5.13E-06,16.9375
5.19E-06,16.8917
5.27E-06,16.8585
5.40E-06,16.8101
5.42E-06,16.8075
5.54E-06,16.7996
5.59E-06,16.7995
5.65E-06,16.8153
5.70E-06,16.8315
5.75E-06,16.8424
5.77E-06,16.8535
5.90E-06,16.9273
5.92E-06,16.9407
5.98E-06,17.0063
6.04E-06,17.075
6.06E-06,17.1089
6.15E-06,17.2448
6.16E-06,17.2602
6.17E-06,17.2773
6.24E-06,17.4058
6.26E-06,17.4475
6.30E-06,17.5597
6.34E-06,17.6703
6.37E-06,17.7445
6.43E-06,17.9569
6.44E-06,17.9642
6.47E-06,18.0938
6.50E-06,18.2319
6.52E-06,18.3174
6.55E-06,18.4344
6.59E-06,18.6507
6.60E-06,18.6612
6.64E-06,18.9328
6.66E-06,19.0623
6.69E-06,19.2393
6.70E-06,19.3102
6.73E-06,19.5598
6.74E-06,19.5762
6.78E-06,19.9527
6.78E-06,19.9703
6.82E-06,20.3136
6.83E-06,20.412
6.85E-06,20.6975
6.88E-06,20.9493
6.89E-06,21.1004
6.89E-06,21.1271
6.93E-06,21.5695
6.93E-06,21.6002
6.96E-06,22.1495
6.97E-06,22.311
7.00E-06,22.7758
7.01E-06,22.962
7.02E-06,23.249
7.04E-06,23.4592
7.05E-06,23.7054
7.05E-06,23.7555
7.07E-06,24.3222
7.08E-06,24.5722
7.10E-06,24.9551
7.12E-06,25.5802
7.12E-06,25.6468
7.13E-06,25.9734
7.15E-06,26.43
7.16E-06,26.7672
7.17E-06,27.2884
7.18E-06,27.6805
7.19E-06,28.0158
7.21E-06,28.7088
7.21E-06,28.7105
7.21E-06,28.8065
7.23E-06,29.6747
7.23E-06,29.8679
7.25E-06,30.6366
7.26E-06,31.1983
7.27E-06,31.6949
7.29E-06,32.721
7.29E-06,32.7317
7.29E-06,32.8689
7.31E-06,34.0279
7.31E-06,34.1867
7.32E-06,35.4797
7.33E-06,35.6639
7.34E-06,36.5727
7.34E-06,37.1079
7.35E-06,37.3207
7.36E-06,38.5417
7.36E-06,38.9038
7.37E-06,39.875
7.38E-06,40.9185
7.38E-06,41.2057
7.39E-06,41.8451
7.40E-06,43.2007
7.40E-06,43.2398
7.41E-06,44.7649
7.42E-06,45.8178
7.42E-06,46.3819
7.43E-06,47.7757
7.43E-06,48.1555
7.44E-06,49.456
7.44E-06,49.9313
7.44E-06,50.0851
7.45E-06,52.1065
7.45E-06,52.1946
7.47E-06,54.5335
7.47E-06,55.452
7.48E-06,56.6773
7.48E-06,57.4394
7.48E-06,57.9455
7.48E-06,59.0145
7.49E-06,60.6786
7.49E-06,61.5591
7.50E-06,63.6934
7.50E-06,64.3402
7.51E-06,66.3577
7.51E-06,67.028
7.51E-06,67.3843
7.52E-06,70.7231
7.53E-06,74.4325
7.53E-06,74.8639
7.54E-06,78.517
7.55E-06,82.0211
7.55E-06,82.5411
7.56E-06,85.8357
7.56E-06,86.9775
7.56E-06,89.9986
7.57E-06,91.8852
7.57E-06,92.886
7.57E-06,94.5509
7.57E-06,97.327
7.58E-06,99.5416
7.58E-06,103.392
7.58E-06,105.035
7.59E-06,110.184
7.59E-06,111.103
7.59E-06,113.024
7.60E-06,117.822
7.61E-06,124.552
7.61E-06,132.001
7.62E-06,140.275
7.63E-06,149.503
7.63E-06,159.837
7.64E-06,168.752
7.64E-06,180.022
7.64E-06,182.702
7.65E-06,189.407
7.65E-06,192.66
7.65E-06,199.582
7.65E-06,206.778
7.66E-06,210.597
7.66E-06,215.684
7.66E-06,220.21
7.66E-06,232.548
7.67E-06,241.961
7.67E-06,245.998
7.67E-06,260.679
7.67E-06,263.884
7.68E-06,271.902
7.68E-06,276.716
7.68E-06,294.241
7.68E-06,298.07
7.68E-06,313.4
7.69E-06,328.05
7.69E-06,334.335
7.69E-06,350.34
7.69E-06,357.206
7.70E-06,374.674
7.70E-06,382.168
7.70E-06,401.207
7.70E-06,409.374
7.70E-06,430.089
7.71E-06,438.975
7.71E-06,461.462
7.71E-06,471.11
7.71E-06,495.455
7.71E-06,505.898
7.72E-06,524.662
7.72E-06,543.444
7.72E-06,559.581
7.72E-06,583.81
7.72E-06,596.767
7.73E-06,627.028
7.73E-06,636.231
7.73E-06,673.08
7.73E-06,677.992
7.73E-06,714.859
7.73E-06,722.239
7.74E-06,747.593
7.74E-06,752.858
7.74E-06,792.375
7.74E-06,800.285
7.74E-06,827.457
7.74E-06,833.072
7.75E-06,883.659
7.75E-06,889.423
7.75E-06,941.352
7.75E-06,947.24
7.76E-06,1000.29
7.76E-06,1006.25
7.76E-06,1065.94
7.76E-06,1125.69
7.77E-06,1197.46
7.77E-06,1209.44
7.77E-06,1238.37
7.77E-06,1266.58
7.78E-06,1323.05
7.78E-06,1366.81
7.78E-06,1400.29
7.79E-06,1467.94
7.80E-06,1513.46
7.80E-06,1544.04
7.80E-06,1550.14
7.80E-06,1573.24
7.81E-06,1578.01
7.81E-06,1589.1
7.81E-06,1593.83
7.81E-06,1597.41
7.81E-06,1598.22
7.82E-06,1597.98
7.82E-06,1597.24
7.82E-06,1595.95
7.82E-06,1592.89
7.82E-06,1584.48
7.82E-06,1582.92
7.83E-06,1566.05
7.83E-06,1563.79
7.83E-06,1553.22
7.83E-06,1538.62
7.83E-06,1526.48
7.84E-06,1511.22
7.84E-06,1502.7
7.84E-06,1489.58
7.84E-06,1465.15
7.84E-06,1461.06
7.84E-06,1430.03
7.85E-06,1411
7.85E-06,1391.92
7.85E-06,1356.23
7.85E-06,1340.16
7.85E-06,1313.3
7.86E-06,1273.91
7.86E-06,1256.43
7.86E-06,1198.04
7.86E-06,1168.19
7.86E-06,1156.23
7.87E-06,1077.34
7.88E-06,986.17
7.88E-06,955.744
7.88E-06,913.996
7.88E-06,867.195
7.89E-06,827.314
7.89E-06,782.82
7.89E-06,745.28
7.90E-06,703.704
7.90E-06,668.611
7.90E-06,654.03
7.90E-06,621.103
7.91E-06,607.375
7.91E-06,576.462
7.91E-06,563.604
7.91E-06,534.721
7.91E-06,522.732
7.92E-06,495.861
7.92E-06,484.728
7.92E-06,459.856
7.92E-06,449.568
7.93E-06,426.595
7.93E-06,417.106
7.93E-06,395.946
7.93E-06,387.215
7.93E-06,367.804
7.93E-06,359.803
7.94E-06,342.002
7.94E-06,334.67
7.94E-06,318.397
7.94E-06,311.699
7.95E-06,296.815
7.95E-06,290.691
7.95E-06,277.112
7.95E-06,271.527
7.95E-06,259.12
7.96E-06,254.017
7.96E-06,242.705
7.96E-06,238.052
7.96E-06,227.712
7.96E-06,223.459
7.97E-06,214.03
7.97E-06,210.15
7.97E-06,201.519
7.97E-06,197.966
7.98E-06,190.052
7.98E-06,187.077
7.98E-06,186.819
7.98E-06,177.037
7.98E-06,167.87
7.99E-06,166.518
7.99E-06,161.991
7.99E-06,159.415
7.99E-06,156.944
7.99E-06,151.618
7.99E-06,148.201
8.00E-06,145.379
8.00E-06,140.212
8.00E-06,138.284
8.00E-06,137.882
8.00E-06,131.72
8.00E-06,131.643
8.01E-06,125.685
8.01E-06,124.907
8.01E-06,120.965
8.01E-06,120.086
8.01E-06,118.73
8.02E-06,113.022
8.02E-06,112.429
8.03E-06,105.54
8.03E-06,105.273
8.03E-06,103.452
8.03E-06,100.686
8.03E-06,98.4216
8.04E-06,95.5422
8.04E-06,92.2657
8.04E-06,90.8118
8.04E-06,89.8182
8.05E-06,86.6554
8.05E-06,86.4671
8.05E-06,82.5002
8.06E-06,81.6343
8.06E-06,79.6541
8.06E-06,78.8336
8.06E-06,77.099
8.07E-06,75.4429
8.07E-06,72.9812
8.07E-06,72.2886
8.08E-06,69.2293
8.08E-06,68.9761
8.08E-06,65.8274
8.08E-06,65.595
8.09E-06,62.7091
8.09E-06,62.4959
8.10E-06,61.0676
8.10E-06,59.8527
8.10E-06,59.6591
8.11E-06,57.0627
8.11E-06,56.5283
8.11E-06,54.6646
8.12E-06,53.5244
8.12E-06,52.4376
8.12E-06,51.6906
8.13E-06,50.8031
8.13E-06,50.3795
8.14E-06,48.3456
8.14E-06,48.2159
8.15E-06,46.1077
8.15E-06,45.9889
8.16E-06,44.06
8.16E-06,43.9523
8.16E-06,42.2015
8.17E-06,42.1026
8.17E-06,40.493
8.17E-06,40.4021
8.18E-06,38.8346
8.18E-06,38.7508
8.19E-06,38.4303
8.19E-06,37.4013
8.19E-06,37.1728
8.20E-06,36.0786
8.21E-06,35.7279
8.21E-06,34.7192
8.22E-06,34.3968
8.22E-06,33.3546
8.23E-06,32.7084
8.23E-06,32.5926
8.24E-06,32.1013
8.25E-06,31.0026
8.25E-06,30.9527
8.26E-06,30.0428
8.26E-06,29.9052
8.27E-06,28.9359
8.27E-06,28.8107
8.28E-06,28.4897
8.29E-06,27.7048
8.29E-06,27.6278
8.30E-06,26.8407
8.30E-06,26.706
8.31E-06,25.9131
8.32E-06,25.7945
8.33E-06,25.0654
8.33E-06,24.9627
8.34E-06,24.3027
8.34E-06,24.2122
8.36E-06,23.6093
8.37E-06,23.2012
8.37E-06,22.9633
8.39E-06,22.3719
8.39E-06,22.3005
8.39E-06,22.0959
8.41E-06,21.5125
8.42E-06,21.3371
8.43E-06,20.8112
8.44E-06,20.6513
8.45E-06,20.1838
8.46E-06,20.0375
8.48E-06,19.6646
8.48E-06,19.6212
8.48E-06,19.4903
8.50E-06,19.1241
8.51E-06,19.0061
8.52E-06,18.6742
8.53E-06,18.4334
8.54E-06,18.2691
8.56E-06,17.9365
8.57E-06,17.9067
8.59E-06,17.5027
8.60E-06,17.4783
8.63E-06,17.1205
8.63E-06,17.0983
8.66E-06,16.7829
8.66E-06,16.7612
8.69E-06,16.4924
8.69E-06,16.4749
8.72E-06,16.2246
8.73E-06,16.1212
8.75E-06,15.9996
8.78E-06,15.8105
8.78E-06,15.7981
8.83E-06,15.5573
8.83E-06,15.5181
8.85E-06,15.4369
8.87E-06,15.3611
8.92E-06,15.209
8.92E-06,15.1982
8.96E-06,15.0785
8.97E-06,15.0738
8.98E-06,15.0482
9.01E-06,14.9881
9.04E-06,14.9493
9.06E-06,14.93
9.10E-06,14.8995
9.11E-06,14.8985
9.15E-06,14.8973
9.17E-06,14.9007
9.20E-06,14.9212
9.23E-06,14.951
9.27E-06,14.9955
9.30E-06,15.0502
9.33E-06,15.1209
9.36E-06,15.2028
9.40E-06,15.3022
9.41E-06,15.3561
9.45E-06,15.4807
9.46E-06,15.5476
9.50E-06,15.7005
9.51E-06,15.7809
9.55E-06,15.9659
9.55E-06,15.9733
9.56E-06,16.0593
9.60E-06,16.2706
9.61E-06,16.3828
9.65E-06,16.6388
9.66E-06,16.7718
9.70E-06,17.0704
9.70E-06,17.071
9.73E-06,17.4107
9.75E-06,17.5968
9.75E-06,17.6157
9.77E-06,17.785
9.80E-06,18.2019
9.80E-06,18.2044
9.83E-06,18.6782
9.85E-06,18.9382
9.87E-06,19.2082
9.89E-06,19.5055
9.89E-06,19.5353
9.90E-06,19.8028
9.92E-06,20.1404
9.94E-06,20.4795
9.96E-06,20.8611
9.97E-06,21.2497
9.99E-06,21.6763
1.00E-05,21.8966
1.00E-05,22.474
1.00E-05,22.6072
1.00E-05,22.611
1.01E-05,23.396
1.01E-05,23.6919
1.01E-05,24.2789
1.01E-05,24.9301
1.01E-05,25.2586
1.01E-05,25.8553
1.01E-05,25.9839
1.01E-05,26.3514
1.01E-05,27.1539
1.02E-05,27.5704
1.02E-05,28.4871
1.02E-05,28.941
1.02E-05,29.2821
1.02E-05,29.9554
1.02E-05,29.9709
1.02E-05,31.0657
1.02E-05,31.6695
1.02E-05,32.2693
1.03E-05,33.575
1.03E-05,33.5805
1.03E-05,34.0404
1.03E-05,35.0095
1.03E-05,35.7756
1.03E-05,36.5704
1.03E-05,38.2732
1.03E-05,38.287
1.03E-05,40.1554
1.03E-05,40.1923
1.03E-05,40.8633
1.03E-05,42.2951
1.03E-05,42.5647
1.04E-05,44.6202
1.04E-05,45.2672
1.04E-05,47.1672
1.04E-05,47.2498
1.04E-05,48.9916
1.04E-05,49.4095
1.04E-05,50.0334
1.04E-05,51.7501
1.04E-05,53.2193
1.04E-05,54.2959
1.04E-05,56.7718
1.04E-05,57.0695
1.04E-05,58.0537
1.05E-05,60.318
1.05E-05,60.7725
1.05E-05,63.9064
1.05E-05,65.2999
1.05E-05,67.8644
1.05E-05,68.6745
1.05E-05,69.0688
1.05E-05,72.253
1.05E-05,73.2092
1.05E-05,77.1425
1.05E-05,78.5649
1.05E-05,81.2108
1.05E-05,83.6744
1.05E-05,86.1925
1.05E-05,88.0762
1.05E-05,89.3305
1.05E-05,91.6825
1.06E-05,95.6189
1.06E-05,97.7482
1.06E-05,101.581
1.06E-05,103.674
1.06E-05,109.279
1.06E-05,109.878
1.06E-05,115.387
1.06E-05,116.042
1.06E-05,122.043
1.06E-05,122.758
1.06E-05,129.308
1.06E-05,130.09
1.06E-05,137.255
1.06E-05,138.112
1.06E-05,145.965
1.06E-05,146.906
1.06E-05,152.658
1.06E-05,155.535
1.06E-05,156.572
1.06E-05,166.075
1.06E-05,167.218
1.07E-05,174.209
1.07E-05,177.707
1.07E-05,178.972
1.07E-05,190.576
1.07E-05,191.978
1.07E-05,200.552
1.07E-05,204.843
1.07E-05,206.383
1.07E-05,216.599
1.07E-05,222.465
1.07E-05,224.177
1.07E-05,229.317
1.07E-05,240.286
1.07E-05,243.089
1.07E-05,252.065
1.07E-05,258.054
1.07E-05,260.189
1.07E-05,267.799
1.07E-05,274.326
1.07E-05,276.654
1.07E-05,284.927
1.07E-05,292.023
1.07E-05,293.285
1.07E-05,309.327
1.07E-05,310.009
1.07E-05,316.838
1.07E-05,327.977
1.07E-05,332.418
1.07E-05,342.788
1.07E-05,348.075
1.07E-05,354.496
1.07E-05,369.76
1.07E-05,371.468
1.08E-05,382.754
1.08E-05,393.181
1.08E-05,395.957
1.08E-05,405.816
1.08E-05,420.38
1.08E-05,424.392
1.08E-05,430.499
1.08E-05,450.873
1.08E-05,455.219
1.08E-05,456.873
