energy,mxw
1.00E-05,0.62365
1.10E-05,0.62424
1.20E-05,0.62479
1.30E-05,0.62533
1.40E-05,0.62584
1.50E-05,0.62633
1.60E-05,0.62681
1.70E-05,0.62727
1.80E-05,0.62771
1.90E-05,0.62814
2.00E-05,0.62856
2.10E-05,0.62896
2.20E-05,0.62936
2.30E-05,0.62974
2.40E-05,0.63012
2.50E-05,0.63048
2.60E-05,0.63084
2.70E-05,0.63119
2.80E-05,0.63153
2.90E-05,0.63186
3.00E-05,0.63219
3.10E-05,0.63251
3.20E-05,0.63283
3.30E-05,0.63313
3.40E-05,0.63344
3.50E-05,0.63373
3.60E-05,0.63402
3.70E-05,0.63431
3.80E-05,0.63459
3.90E-05,0.63487
4.00E-05,0.63514
4.10E-05,0.63541
4.20E-05,0.63567
4.30E-05,0.63593
4.40E-05,0.63619
4.50E-05,0.63644
4.60E-05,0.63669
4.70E-05,0.63693
4.80E-05,0.63717
4.90E-05,0.63741
5.00E-05,0.63765
5.10E-05,0.63788
5.20E-05,0.63811
5.30E-05,0.63833
5.40E-05,0.63855
5.50E-05,0.63877
5.60E-05,0.63899
5.70E-05,0.6392
5.80E-05,0.63941
5.90E-05,0.63962
6.00E-05,0.63983
6.10E-05,0.64003
6.20E-05,0.64023
6.30E-05,0.64043
6.40E-05,0.64063
6.50E-05,0.64082
6.60E-05,0.64101
6.70E-05,0.6412
6.80E-05,0.64139
6.90E-05,0.64157
7.00E-05,0.64176
7.10E-05,0.64194
7.20E-05,0.64212
7.30E-05,0.6423
7.40E-05,0.64247
7.50E-05,0.64264
7.60E-05,0.64282
7.70E-05,0.64299
7.80E-05,0.64315
7.90E-05,0.64332
8.00E-05,0.64349
8.10E-05,0.64365
8.20E-05,0.64381
8.30E-05,0.64397
8.40E-05,0.64413
8.50E-05,0.64429
8.60E-05,0.64444
8.70E-05,0.64459
8.80E-05,0.64475
8.90E-05,0.6449
9.00E-05,0.64505
9.10E-05,0.6452
9.20E-05,0.64534
9.30E-05,0.64549
9.40E-05,0.64563
9.50E-05,0.64577
9.60E-05,0.64591
9.70E-05,0.64605
9.80E-05,0.64619
9.90E-05,0.64633
0.0001,0.64647
0.00011,0.64776
0.00012,0.64895
0.00013,0.65005
0.00014,0.65106
0.00015,0.65199
0.00016,0.65286
0.00017,0.65366
0.00018,0.65441
0.00019,0.6551
0.0002,0.65575
0.00021,0.65635
0.00022,0.65691
0.00023,0.65743
0.00024,0.65792
0.00025,0.65837
0.00026,0.6588
0.00027,0.65919
0.00028,0.65956
0.00029,0.65991
0.0003,0.66023
0.00031,0.66053
0.00032,0.66081
0.00033,0.66106
0.00034,0.66131
0.00035,0.66153
0.00036,0.66174
0.00037,0.66193
0.00038,0.66211
0.00039,0.66228
0.0004,0.66244
0.00041,0.66258
0.00042,0.66271
0.00043,0.66284
0.00044,0.66295
0.00045,0.66306
0.00046,0.66315
0.00047,0.66324
0.00048,0.66333
0.00049,0.6634
0.0005,0.66347
0.00051,0.66354
0.00052,0.6636
0.00053,0.66365
0.00054,0.6637
0.00055,0.66375
0.00056,0.66379
0.00057,0.66383
0.00058,0.66386
0.00059,0.66389
0.0006,0.66392
0.00061,0.66395
0.00062,0.66398
0.00063,0.664
0.00064,0.66402
0.00065,0.66404
0.00066,0.66406
0.00067,0.66408
0.00068,0.66409
0.00069,0.66411
0.0007,0.66412
0.00071,0.66413
0.00072,0.66415
0.00073,0.66416
0.00074,0.66417
0.00075,0.66419
0.00076,0.6642
0.00077,0.66421
0.00078,0.66422
0.00079,0.66423
0.0008,0.66425
0.00081,0.66426
0.00082,0.66427
0.00083,0.66428
0.00084,0.6643
0.00085,0.66431
0.00086,0.66432
0.00087,0.66433
0.00088,0.66435
0.00089,0.66436
0.0009,0.66437
0.00091,0.66439
0.00092,0.6644
0.00093,0.66441
0.00094,0.66443
0.00095,0.66444
0.00096,0.66445
0.00097,0.66447
0.00098,0.66448
0.00099,0.66449
0.001,0.6645
0.0011,0.66458
0.0012,0.66462
0.0013,0.66466
0.0014,0.66473
0.0015,0.66484
0.0016,0.66499
0.0017,0.66518
0.0018,0.6654
0.0019,0.66563
0.002,0.66586
0.0021,0.66606
0.0022,0.66624
0.0023,0.66639
0.0024,0.66654
0.0025,0.66667
0.0026,0.66679
0.0027,0.66691
0.0028,0.66703
0.0029,0.66715
0.003,0.66728
0.0031,0.6674
0.0032,0.66753
0.0033,0.66767
0.0034,0.66781
0.0035,0.66795
0.0036,0.6681
0.0037,0.66826
0.0038,0.66841
0.0039,0.66856
0.004,0.66872
0.0041,0.66887
0.0042,0.66902
0.0043,0.66916
0.0044,0.66931
0.0045,0.66945
0.0046,0.6696
0.0047,0.66974
0.0048,0.66988
0.0049,0.67003
0.005,0.67017
0.0051,0.67032
0.0052,0.67046
0.0053,0.67061
0.0054,0.67075
0.0055,0.6709
0.0056,0.67104
0.0057,0.67119
0.0058,0.67134
0.0059,0.67148
0.006,0.67163
0.0061,0.67178
0.0062,0.67192
0.0063,0.67207
0.0064,0.67222
0.0065,0.67236
0.0066,0.67251
0.0067,0.67265
0.0068,0.6728
0.0069,0.67295
0.007,0.67309
0.0071,0.67324
0.0072,0.67339
0.0073,0.67353
0.0074,0.67368
0.0075,0.67382
0.0076,0.67397
0.0077,0.67412
0.0078,0.67426
0.0079,0.67441
0.008,0.67455
0.0081,0.6747
0.0082,0.67485
0.0083,0.67499
0.0084,0.67514
0.0085,0.67528
0.0086,0.67543
0.0087,0.67558
0.0088,0.67572
0.0089,0.67587
0.009,0.67601
0.0091,0.67616
0.0092,0.6763
0.0093,0.67645
0.0094,0.6766
0.0095,0.67674
0.0096,0.67689
0.0097,0.67703
0.0098,0.67718
0.0099,0.67732
0.01,0.67747
0.011,0.6789
0.012,0.68033
0.013,0.68176
0.014,0.68321
0.015,0.68466
0.016,0.68608
0.017,0.68749
0.018,0.68889
0.019,0.69028
0.02,0.69166
0.021,0.69303
0.022,0.69439
0.023,0.69574
0.024,0.69708
0.025,0.69842
0.026,0.69976
0.027,0.7011
0.028,0.70243
0.029,0.70375
0.03,0.70506
0.031,0.70636
0.032,0.70764
0.033,0.70892
0.034,0.71018
0.035,0.71144
0.036,0.71269
0.037,0.71393
0.038,0.71516
0.039,0.71638
0.04,0.71759
0.041,0.7188
0.042,0.72
0.043,0.72119
0.044,0.72237
0.045,0.72354
0.046,0.72471
0.047,0.72587
0.048,0.72702
0.049,0.72816
0.05,0.72929
0.051,0.73042
0.052,0.73154
0.053,0.73264
0.054,0.73375
0.055,0.73484
0.056,0.73592
0.057,0.737
0.058,0.73807
0.059,0.73914
0.06,0.74019
0.061,0.74124
0.062,0.74228
0.063,0.74331
0.064,0.74434
0.065,0.74536
0.066,0.74637
0.067,0.74737
0.068,0.74837
0.069,0.74936
0.07,0.75034
0.071,0.75132
0.072,0.75229
0.073,0.75325
0.074,0.75421
0.075,0.75516
0.076,0.7561
0.077,0.75704
0.078,0.75796
0.079,0.75889
0.08,0.7598
0.081,0.76071
0.082,0.76162
0.083,0.76251
0.084,0.7634
0.085,0.76429
0.086,0.76517
0.087,0.76604
0.088,0.76691
0.089,0.76777
0.09,0.76862
0.091,0.76947
0.092,0.77031
0.093,0.77115
0.094,0.77198
0.095,0.7728
0.096,0.77362
0.097,0.77444
0.098,0.77525
0.099,0.77605
0.1,0.77685
0.11,0.78452
0.12,0.7917
0.13,0.79842
0.14,0.80473
0.15,0.81065
0.16,0.81622
0.17,0.82146
0.18,0.82641
0.19,0.83108
0.2,0.8355
0.21,0.83969
0.22,0.84368
0.23,0.84746
0.24,0.85107
0.25,0.85451
0.26,0.8578
0.27,0.86094
0.28,0.86396
0.29,0.86685
0.3,0.86962
0.31,0.87229
0.32,0.87485
0.33,0.87732
0.34,0.87969
0.35,0.88198
0.36,0.88419
0.37,0.88632
0.38,0.88838
0.39,0.89039
0.4,0.89234
0.41,0.89424
0.42,0.89608
0.43,0.89785
0.44,0.89955
0.45,0.90117
0.46,0.9027
0.47,0.90414
0.48,0.90549
0.49,0.90677
0.5,0.90801
0.51,0.90921
0.52,0.91037
0.53,0.91151
0.54,0.91263
0.55,0.91371
0.56,0.91475
0.57,0.91574
0.58,0.91668
0.59,0.91756
0.6,0.91838
0.61,0.91916
0.62,0.91991
0.63,0.92063
0.64,0.92133
0.65,0.92202
0.66,0.92271
0.67,0.92339
0.68,0.92408
0.69,0.92476
0.7,0.92544
0.71,0.92611
0.72,0.92678
0.73,0.92744
0.74,0.9281
0.75,0.92875
0.76,0.92941
0.77,0.93006
0.78,0.93072
0.79,0.93137
0.8,0.93203
0.81,0.93268
0.82,0.93334
0.83,0.93401
0.84,0.93467
0.85,0.93534
0.86,0.93602
0.87,0.9367
0.88,0.93739
0.89,0.93809
0.9,0.93879
0.91,0.93949
0.92,0.9402
0.93,0.94092
0.94,0.94163
0.95,0.94235
0.96,0.94307
0.97,0.94379
0.98,0.94451
0.99,0.94523
1,0.94595
1.1,0.95312
1.2,0.96019
1.3,0.96746
1.4,0.97484
1.5,0.98212
1.6,0.98918
1.7,0.9959
1.8,1.0022
1.9,1.0081
2,1.0136
2.1,1.0187
2.2,1.0234
2.3,1.0279
2.4,1.0321
2.5,1.0362
2.6,1.0402
2.7,1.0441
2.8,1.0481
2.9,1.0522
3,1.0564
3.1,1.0607
3.2,1.0652
3.3,1.0699
3.4,1.0749
3.5,1.0802
3.6,1.0857
3.7,1.0915
3.8,1.0975
3.9,1.1039
4,1.1106
4.1,1.1175
4.2,1.1247
4.3,1.1322
4.4,1.1399
4.5,1.1479
4.6,1.1561
4.7,1.1645
4.8,1.1731
4.9,1.1819
5,1.1908
5.1,1.1999
5.2,1.2091
5.3,1.2184
5.4,1.2277
5.5,1.2372
5.6,1.2466
5.7,1.2562
5.8,1.2657
5.9,1.2753
6,1.2848
6.1,1.2944
6.2,1.3039
6.3,1.3134
6.4,1.3229
6.5,1.3324
6.6,1.3419
6.7,1.3513
6.8,1.3607
6.9,1.3702
7,1.3796
7.1,1.389
7.2,1.3984
7.3,1.4078
7.4,1.4172
7.5,1.4266
7.6,1.4361
7.7,1.4456
7.8,1.4552
7.9,1.4648
8,1.4745
8.1,1.4842
8.2,1.494
8.3,1.5039
8.4,1.5138
8.5,1.5239
8.6,1.534
8.7,1.5442
8.8,1.5546
8.9,1.565
9,1.5755
9.1,1.5862
9.2,1.5969
9.3,1.6077
9.4,1.6187
9.5,1.6297
9.6,1.6409
9.7,1.6521
9.8,1.6635
9.9,1.6749
10,1.6865
10.2,1.7093
10.4,1.7327
10.6,1.7568
10.8,1.7815
11,1.8069
