energy,barns
1.15E-05,9.67028
1.16E-05,8.41312
1.16E-05,7.90602
1.16E-05,7.35357
1.17E-05,6.95225
1.17E-05,6.19948
1.17E-05,5.9578
1.17E-05,5.77917
1.17E-05,5.6781
1.17E-05,5.63492
1.17E-05,5.61801
1.18E-05,5.63462
1.18E-05,5.67415
1.18E-05,5.74132
1.18E-05,5.84847
1.18E-05,5.998
1.18E-05,6.14172
1.18E-05,6.31557
1.18E-05,6.54124
1.18E-05,6.85456
1.18E-05,7.09763
1.18E-05,7.36998
1.18E-05,7.67323
1.18E-05,8.00891
1.18E-05,8.3785
1.18E-05,8.7833
1.18E-05,9.36416
1.18E-05,10.0087
1.18E-05,10.6192
1.18E-05,11.2791
1.18E-05,12.0706
1.18E-05,13.1006
1.18E-05,14.216
1.18E-05,15.4126
1.18E-05,17.1238
1.18E-05,18.9492
1.19E-05,21.8448
1.19E-05,27.7845
1.19E-05,30.3871
1.19E-05,32.0931
1.19E-05,33.6295
1.19E-05,34.8717
1.19E-05,35.7642
1.19E-05,36.6999
1.19E-05,37.3803
1.19E-05,37.7999
1.19E-05,37.9612
1.19E-05,37.9637
1.19E-05,37.8746
1.19E-05,37.5567
1.19E-05,37.0302
1.20E-05,36.3218
1.20E-05,34.9829
1.20E-05,33.4053
1.20E-05,28.1899
1.20E-05,26.0079
1.20E-05,24.2351
1.20E-05,22.8339
1.20E-05,21.6717
1.20E-05,20.6491
1.21E-05,19.8952
1.21E-05,18.9127
1.21E-05,18.0829
1.21E-05,17.4221
1.21E-05,16.8513
1.21E-05,16.1291
1.21E-05,15.664
1.21E-05,15.2093
1.22E-05,14.6327
1.22E-05,14.3033
1.22E-05,13.8002
1.22E-05,13.3784
1.23E-05,12.8564
1.23E-05,12.359
1.23E-05,11.9251
1.24E-05,11.566
1.24E-05,11.1999
1.25E-05,10.8907
1.26E-05,10.5114
1.27E-05,10.1651
1.28E-05,9.72274
1.30E-05,9.21373
1.34E-05,8.25715
1.35E-05,7.86075
1.36E-05,7.56579
1.37E-05,7.266
1.38E-05,6.96001
1.38E-05,6.68994
1.39E-05,6.35712
1.39E-05,6.10559
1.40E-05,5.82418
1.40E-05,5.50624
1.41E-05,5.23975
1.41E-05,4.85061
1.41E-05,4.48864
1.42E-05,4.33102
1.42E-05,4.25413
1.42E-05,4.2233
1.42E-05,4.21446
1.42E-05,4.22669
1.42E-05,4.25719
1.42E-05,4.30914
1.42E-05,4.38537
1.42E-05,4.4886
1.42E-05,4.62129
1.42E-05,4.7855
1.42E-05,4.9827
1.42E-05,5.21358
1.43E-05,5.47795
1.43E-05,5.77452
1.43E-05,6.10083
1.43E-05,6.57564
1.43E-05,7.34696
1.43E-05,8.39627
1.43E-05,8.88512
1.43E-05,9.30247
1.43E-05,9.62873
1.43E-05,9.91146
1.43E-05,10.0882
1.44E-05,10.2098
1.44E-05,10.2466
1.44E-05,10.2248
1.44E-05,10.1464
1.44E-05,10.0143
1.44E-05,9.8331
1.44E-05,9.52421
1.44E-05,9.15179
1.44E-05,8.73134
1.44E-05,8.04471
1.44E-05,6.87215
1.45E-05,6.4316
1.45E-05,6.06456
1.45E-05,5.73526
1.45E-05,5.49724
1.45E-05,5.29979
1.45E-05,5.19469
1.45E-05,5.10739
1.45E-05,5.05376
1.45E-05,5.03811
1.45E-05,5.05524
1.45E-05,5.11186
1.45E-05,5.18026
1.45E-05,5.27377
1.45E-05,5.39439
1.45E-05,5.54424
1.45E-05,5.72553
1.45E-05,5.94055
1.45E-05,6.19166
1.45E-05,6.51551
1.45E-05,6.89016
1.45E-05,7.31903
1.46E-05,7.80549
1.46E-05,8.21014
1.46E-05,8.65045
1.46E-05,9.12773
1.46E-05,9.64325
1.46E-05,10.2752
1.46E-05,10.9595
1.46E-05,11.6974
1.46E-05,12.4902
1.46E-05,13.4945
1.46E-05,14.5773
1.46E-05,15.7391
1.46E-05,16.9798
1.46E-05,18.7787
1.46E-05,20.7159
1.46E-05,22.706
1.46E-05,25.3103
1.46E-05,28.5975
1.46E-05,32.4238
1.46E-05,44.8652
1.47E-05,48.61
1.47E-05,52.0753
1.47E-05,55.0278
1.47E-05,57.5666
1.47E-05,59.1532
1.47E-05,60.4738
1.47E-05,61.652
1.47E-05,62.3291
1.47E-05,62.6782
1.47E-05,62.6941
1.47E-05,62.592
1.47E-05,62.0262
1.47E-05,61.0062
1.47E-05,59.5892
1.47E-05,57.6158
1.47E-05,55.3251
1.48E-05,52.1649
1.48E-05,43.8623
1.48E-05,40.719
1.48E-05,37.8021
1.48E-05,35.1516
1.48E-05,33.3482
1.48E-05,31.7022
1.48E-05,30.2083
1.48E-05,28.8575
1.49E-05,27.5624
1.49E-05,26.2681
1.49E-05,25.126
1.49E-05,24.1164
1.49E-05,22.9455
1.49E-05,22.0189
1.49E-05,20.9377
1.49E-05,20.0237
1.49E-05,19.241
1.50E-05,18.7785
1.50E-05,17.9686
1.50E-05,17.2824
1.50E-05,16.6931
1.50E-05,16.1818
1.51E-05,15.5607
1.51E-05,15.0912
1.51E-05,14.5654
1.52E-05,14.1325
1.52E-05,13.7758
1.52E-05,13.4084
1.53E-05,13.131
1.53E-05,12.945
1.54E-05,12.8119
1.54E-05,12.6899
1.56E-05,12.4897
1.57E-05,12.3512
1.58E-05,12.1607
1.62E-05,10.9395
1.65E-05,10.0663
1.67E-05,9.40276
1.68E-05,9.02676
1.69E-05,8.74356
1.70E-05,8.42116
1.71E-05,8.14368
1.71E-05,7.82458
1.72E-05,7.44968
1.72E-05,7.10434
1.73E-05,6.75978
1.73E-05,6.50084
1.73E-05,6.11367
1.74E-05,5.70588
1.74E-05,5.09607
1.74E-05,4.94166
1.74E-05,4.85223
1.75E-05,4.8122
1.75E-05,4.79304
1.75E-05,4.80437
1.75E-05,4.84107
1.75E-05,4.90832
1.75E-05,5.01199
1.75E-05,5.10456
1.75E-05,5.21833
1.75E-05,5.3739
1.75E-05,5.58477
1.75E-05,5.77222
1.75E-05,5.98711
1.75E-05,6.23155
1.75E-05,6.46308
1.75E-05,6.77606
1.75E-05,7.12667
1.75E-05,7.51721
1.75E-05,7.99554
1.75E-05,8.5788
1.75E-05,9.14428
1.75E-05,9.67154
1.75E-05,10.2392
1.76E-05,11.1684
1.76E-05,11.9179
1.76E-05,12.7201
1.76E-05,14.0219
