angle,theta
180,0.47341
154.052,0.49128
142.985,0.51074
134.254,0.53189
126.676,0.55477
119.79,0.57946
113.356,0.606
107.227,0.63444
101.3,0.66483
95.4985,0.69721
89.7582,0.73162
84.0204,0.76811
78.2264,0.80672
72.3121,0.8475
66.2006,0.8905
59.7911,0.9358
52.9372,0.98347
45.4009,1.0336
36.7253,1.0862
25.737,1.1415
0,1.1996
