energy,barns
7.38E-06,23.2684
7.40E-06,24.6877
7.42E-06,26.3005
7.43E-06,27.5017
7.44E-06,28.8197
7.45E-06,30.147
7.47E-06,32.1699
7.48E-06,33.6729
7.49E-06,35.3182
7.50E-06,37.1253
7.51E-06,39.117
7.52E-06,41.3205
7.53E-06,43.7684
7.54E-06,45.9287
7.55E-06,48.2943
7.56E-06,50.8932
7.57E-06,53.7586
7.57E-06,56.9301
7.58E-06,60.4552
7.59E-06,64.391
7.60E-06,68.8072
7.61E-06,72.6781
7.61E-06,76.9493
7.62E-06,81.6797
7.63E-06,86.9394
7.63E-06,92.8116
7.64E-06,97.865
7.64E-06,104.237
7.65E-06,111.334
7.65E-06,119.265
7.66E-06,126.82
7.66E-06,133.718
7.67E-06,141.222
7.67E-06,149.394
7.68E-06,158.301
7.68E-06,168.014
7.68E-06,178.608
7.69E-06,190.161
7.69E-06,202.753
7.70E-06,216.466
7.70E-06,231.379
7.71E-06,247.569
7.71E-06,265.106
7.71E-06,284.051
7.72E-06,304.45
7.72E-06,326.334
7.73E-06,349.712
7.73E-06,374.566
7.74E-06,414.505
7.74E-06,457.347
7.75E-06,518.092
7.77E-06,660.069
7.78E-06,719.178
7.78E-06,759.052
7.79E-06,793.539
7.80E-06,816.368
7.80E-06,834.325
7.80E-06,845.22
7.81E-06,852.185
7.81E-06,855.148
7.82E-06,852.319
7.82E-06,844.232
7.83E-06,832.828
7.83E-06,816.777
7.84E-06,795.803
7.84E-06,772.194
7.85E-06,733.246
7.85E-06,689.395
7.86E-06,625.802
7.88E-06,493.367
7.88E-06,445.525
7.89E-06,400.074
7.90E-06,357.606
7.90E-06,331.148
7.91E-06,306.254
7.91E-06,282.957
7.91E-06,261.259
7.92E-06,241.138
7.92E-06,222.551
7.93E-06,205.438
7.93E-06,189.729
7.93E-06,175.344
7.94E-06,162.197
7.94E-06,150.201
7.95E-06,139.266
7.95E-06,129.308
7.96E-06,120.241
7.96E-06,111.987
7.96E-06,104.47
7.97E-06,97.6201
7.97E-06,91.3731
7.98E-06,85.8062
7.98E-06,80.7063
7.98E-06,76.0278
7.99E-06,71.7299
7.99E-06,67.7756
8.00E-06,64.6278
8.00E-06,61.0592
8.00E-06,57.7736
8.01E-06,54.7431
8.01E-06,51.9429
8.02E-06,48.1268
8.03E-06,44.715
8.03E-06,42.298
8.04E-06,39.7621
